epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70
KRT13,PON3,PON3,PON3,PON3,PPP2R2C,PPP2R2C
PON3,GSTT1,PPP2R2C,PPP2R2C,PPP2R2C,PON3,PON3
GSTT1,C3orf57,SIM2,MNX1,MNX1,PEG10,CLEC3A
C3orf57,HOXB13,TNNT1,C3orf57,PEG10,CLEC3A,PEG10
DIO1,PPP2R2C,C3orf57,SYT13,CLEC3A,MNX1,TNNT1
PPP2R2C,KRT13,KRT13,GSTT1,GSTT1,TNNT1,MNX1
LDHC,SIM2,GNGT1,TNNT1,TNNT1,GSTT1,GSTT1
BMPR1B,GNGT1,SYT13,LDHC,SYT13,NLRP2,CALML5
GNGT1,MMP10,LDHC,CLEC3A,LDHC,BMPR1B,GRB14
CALML5,CLEC3A,GSTT1,BMPR1B,CALML5,GRB14,NLRP2
NLRP2,TNNT1,MNX1,PEG10,BMPR1B,S100P,S100P
KRT15,C10orf82,CLEC3A,SIM2,SIM2,SYT13,BMPR1B
PLAC2,LDHC,C10orf82,C10orf82,C3orf57,C3orf57,SYT13
TMPRSS4,NLRP2,HOXB13,GNGT1,NLRP2,CALML5,C3orf57
SLC6A4,BMPR1B,BMPR1B,MMP10,HOXB13,LDHC,LDHC
C10orf82,PEG10,MMP10,HOXB13,C10orf82,SIM2,HOXB13
GALNT14,DIO1,PEG10,CALML5,GNGT1,HOXB13,GNGT1
TNNT1,TMPRSS4,MUCL1,KRT13,MMP10,GNGT1,SIM2
KCNJ3,GRB14,NLRP2,NLRP2,GRB14,MMP10,MMP10
S100A7,MUCL1,CALML5,GRB14,S100P,C10orf82,TMPRSS4
CLEC3A,DYDC2,DIO1,TMPRSS4,TMPRSS4,TMPRSS4,C10orf82
DHRS2,S100P,SCGN,WFDC2,WFDC2,FAM3B,PLAC2
MUCL1,SCGN,TMPRSS4,MUCL1,FAM3B,WFDC2,FAM3B
EGFR_y,EGFR_y,GRB14,KCNJ3,CHST8,GALNT14,WFDC2
MMP10,KCNJ3,DYDC2,S100P,TMEM16C,CHST8,GALNT14
GRB14,PCDHB2,BEX2,FAM3B,PRSS16,PLAC2,CYP2A6
PEG10,CALML5,KCNJ3,UGT2B28,KRT13,PRSS16,TMEM16C
HLA-DRB6,HLA-DRB6,CUTL2,SCGN,PLAC2,KRT13,PCDHB2
HOXB13,TFAP2B,PLAC2,CHST8,GALNT14,TMEM16C,CHST8
C20orf85,CHST8,WFDC2,DYDC2,CYP2A6,TFAP2B,PRSS16
CHST8,PLAC2,CHST8,PLAC2,KCNJ3,CYP2A6,HOTAIR
ACMSD,UGT2B28,KRT15,PRSS16,DYDC2,KLK12,KLK12
HGD,KIAA1822L,GALNT14,NPY5R,UGT2B28,CUTL2,C10orf140
PCDHB2,CEACAM5,S100P,GALNT14,SLC7A2,UGT2B28,UGT2B11
DYDC2,SYT13,HGD,BEX2,CUTL2,CEACAM5,CUTL2
SYT13,KRT15,NPY5R,PNPLA3,KLK12,KIAA1822L,SLC6A4
CBLN2,BEX2,FAM3B,UGT2B11,SCGN,DYDC2,C21orf81
ODZ2,MUC16,TFAP2B,HS6ST3,OBP2A,SLC7A2,DYDC2
SLC27A2,MNX1,UGT2B28,CUTL2,MSMB,PCDHB2,KCNJ3
CALML3,CLIC6,CEACAM5,CYP2A6,NPY5R,C10orf140,SLC7A2
GDPD3,HGD,MUC16,DIO1,MUCL1,ACTN2,NPY5R
LRP2,WFDC2,PRSS16,OBP2A,TFAP2B,UGT2B11,TFAP2B
RNF183,CUTL2,KIAA1822L,TMEM46,UGT2B11,OBP2A,KIAA1822L
COL17A1,GDPD3,OBP2A,TFAP2B,CLIC6,MUCL1,UGT2B28
SLC1A1,FLT3,TCN1,MSMB,KIAA1822L,SLC6A4,MSMB
TMEM46,PNLIPRP2,PNLIPRP2,HGD,PNPLA3,MSMB,DCD
SERPINA6,SLC5A8,HS6ST3,TMEM16C,SLC30A8,HOTAIR,MUCL1
WFDC2,SERPINA6,PNPLA3,CLIC6,ACTN2,KCNJ3,ACTN2
SIM2,CBLN2,MGC45438,KLK12,EREG,NPY5R,CYP2A7
PIGR,PRSS16,ODZ2,EREG,HOTAIR,SLC5A8,OBP2A
FAM3B,RDHE2,EREG,MGC45438,CEACAM5,AQP3,HGD
NAP1L2,MGC45438,SLC5A8,C20orf85,TMEM46,CLIC6,PNLIPRP2
TFAP2B,AR_y,UGT2B11,PNLIPRP2,PCDHB2,SCGN,TMEM46
SCGN,ODZ2,PCDHB2,KIAA1822L,PNLIPRP2,C21orf81,DIO1
PDZK1,SLC1A1,ATP6V0A4,SLC7A2,BEX2,C20orf85,KRT13
TCN1,UGT2B11,FLT3,SLC5A8,TRIM36,ST6GALNAC5,ST6GALNAC5
SLC7A2,OBP2A,LRP2,FUT9,SLC6A4,ATP6V0A4,SLC5A8
CEACAM5,HOXC13,HLA-DRB6,ATP6V0A4,C10orf140,SLC30A8,GDPD3
S100P,HS6ST3,TMEM46,CEACAM5,HS6ST3,WT1,SCGN
CYP2A6,MSMB,C20orf85,SLC30A8,CYP2A7,PDE8B,CEACAM5
PCOLCE2,WT1,HOXC13,KRT15,MGC45438,CYP2A7,AQP3
CA8,CYP4X1,CYP2A6,ACTN2,HGD,EREG,PNPLA3
CLIC6,SLC6A4,FUT9,LRP2,DIO1,BEX2,WT1
FLJ12993,TCN1,RNF128,TCN1,SLC5A8,DCD,ATRNL1
NEK10,HRASLS,SLC7A2,C10orf140,S100A7A,PNPLA3,SLC30A8
STEAP4,TMEM46,TMEM16C,FLT3,GDPD3,HGD,BEX2
RET,C12orf56,WT1,SERPINA6,WT1,PNLIPRP2,C20orf85
RPESP,GABRB3,KLK12,TRIM36,LRP2,S100A7A,ATP6V0A4
SLC5A1,LAMC2,C12orf56,CBLN2,FUT9,TMEM46,CP
CAPSL,TUBAL3,C10orf140,C21orf81,ATP6V0A4,MGC45438,TRIM36
PLA2G10,LRP2,CARTPT,DCD,SPESP1,GDPD3,ABHD7
SLC5A8,C20orf85,GDPD3,HOTAIR,HOXC13,SLC5A1,HOXC13
CYP4X1,HOXC12,CLIC6,WT1,DCD,HOXC13,PDE8B
MSMB,FAM3B,SOX2,HLA-DRB6,C21orf81,TRIM36,HS6ST3
PRSS16,SLC5A1,PTPRT,PCDHB2,C20orf85,LRP2,CYP4X1
STC2,NPY5R,MSMB,CYP2A7,PDE8B,HS6ST3,S100A7A
LOC253012,PNPLA3,CBLN2,S100A7A,TCN1,S100A7,SLC5A1
ZMAT4,FAM5C,SLC5A1,SLC6A4,FLT3,ABHD7,KCNC2
SYT1,SYT1,TUBAL3,ODZ2,AQP3,CP,SLC1A1
SIX1,CPB1,ACTN2,MUC16,SLC5A1,TCN1,S100A7
HOXC12,RNF128,SLC6A4,PDE8B,ST6GALNAC5,FUT9,EREG
KIAA0888,UGT2B10,SLC1A1,SLC5A1,KCNC2,ADAMTS19,CLIC6
