Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGAA1A0SJ,0.26164153,0.084063515,0.4751956,0.33596903,0.21244508,0.30358133,0.12616242,0.24821833,0.283821,0.39117783,0.39155212,0.26183316,0.3195705,0.2884615,0.39394355,0.28417706,0.13585846,0.23889107,0.40599847,0.23922797,0.305029,0.34282523,0.31094363,0.28320605,0.36777925,0.051947955,0.036158577,0.06397858,0.38991886,0.37065768,0.30749512,0.2468988,0.21066158,0.47543782,0.101774395,0.2931182,0.30669996,0.3825793,0.17303264,0.1578942,0.14273913,0.14840531,0.21112631,0.2539158,0.23490772,0.33184674,0.12938815,0.3267616,0.3197686,0.53601205,0.14765128,0.4126196,0.2890112,0.38706258,0.2547591,0.27683508,0.28760418,0.40095878,0.11211225,0.23583674,0.05449946,0.51989985,0.2434317,0.32403442,0.1068624,0.28799376,0.17377123,0.15622875,0.30370623,0.20471969,0.20876637,0.21552882,0.13522686,0.41447693,0.19116862,0.33312777,0.14685896,0.49283123,0.06812179,0.3809594,0.12672484,0.2629075,0.13594176,0.3975686,0.15473421,0.19160205,0.07187767,0.47810584,0.050477542,0.28531852,0.11762005,0.07875223,0.4092301,0.40522575,0.045354173,0.1290593,0.40771616,0.045059286,0.26853088,0.16362745
TCGAA2A04Y,0.113725446,0.06137655,0.35049912,0.3625475,0.18322748,0.18099426,0.34547073,0.25316328,0.14104593,0.30604637,0.20208445,0.2131368,0.37044376,0.36593276,0.47427374,0.1950691,0.11197516,0.5052228,0.4987609,0.31812608,0.4321384,0.12231376,0.3086384,0.28240213,0.22895068,0.14248884,0.17892423,0.28210413,0.06248337,0.30339497,0.15808319,0.2185699,0.25552982,0.2956381,0.27610347,0.27138063,0.31209278,0.50097996,0.5393007,0.107821,0.22056833,0.20975125,0.039926797,0.27058285,0.32404038,0.28472552,0.27757716,0.3907914,0.19137701,0.24181986,0.17892748,0.45090988,0.2842247,0.26427066,0.38742733,0.057956867,0.3576865,0.15961803,0.1777331,0.23460059,0.22962002,0.2196407,0.21086715,0.1694271,0.15546626,0.12482417,0.04689052,0.21406807,0.43618506,0.27436215,0.3578384,0.3056016,0.19791143,0.19200915,0.38989478,0.27819875,0.11275308,0.32680076,0.1788367,0.17618997,0.19181257,0.19154207,0.3402338,0.36407992,0.17110592,0.34365255,0.27440614,0.36863476,0.2620337,0.2285828,0.3167785,0.3848542,0.2776424,0.112857774,0.14014435,0.17839837,0.25240442,0.4815933,0.22630405,0.13269724
TCGAA2A0CM,0.15937614,0.2976516,0.15171313,0.07596149,0.46734622,0.22690867,0.21495752,0.34442914,0.3043631,0.42356527,0.22010745,0.26111126,0.09629564,0.2666217,0.21722451,0.0427,0.04483239,0.4608354,0.112334974,0.0629473,0.20948654,0.23225978,0.25004423,0.107801005,0.50852436,0.52426994,0.26855785,0.2513913,0.0994277,0.21301734,0.17679562,0.58054805,0.21740803,0.14168374,0.3254587,0.071208425,0.1378961,0.117601216,0.39146394,0.23556192,0.27976805,0.29200184,0.32302287,0.33843705,0.15793605,0.36353242,0.3108952,0.1387081,0.52975655,0.29757628,0.30218107,0.38464504,0.3078357,0.050780945,0.049727112,0.5496445,0.51997,0.08821902,0.06019637,0.45442823,0.050884105,0.1316238,0.28034928,0.24362531,0.10689624,0.39108905,0.15930563,0.19410339,0.16091959,0.042741686,0.54498094,0.15821826,0.089543164,0.43449077,0.28700942,0.24874529,0.26239544,0.15853214,0.09917961,0.22832271,0.291091,0.3400582,0.24730785,0.16062167,0.22114831,0.3865863,0.23758925,0.29845163,0.48914865,0.29825848,0.48193148,0.24276668,0.31693172,0.15855704,0.27749068,0.53302026,0.032864876,0.27970934,0.17073914,0.3734474
TCGAA2A0D0,0.06745625,0.3744388,0.5637283,0.14418972,0.4330867,0.1245811,0.26839942,0.39029747,0.243321,0.6299845,0.33110824,0.051698104,0.31886455,0.24722844,0.07389409,0.068085484,0.13250609,0.17586344,0.28566572,0.27569124,0.093980715,0.28181523,0.19177526,0.2621062,0.65284795,0.5465528,0.16055326,0.34605187,0.20049086,0.3039148,0.10080348,0.3719614,0.20527811,0.071811974,0.13140191,0.2723853,0.2931303,0.09028379,0.26338932,0.06476768,0.06366472,0.16328943,0.2859966,0.3552595,0.256583,0.27126712,0.42930794,0.16389108,0.34965447,0.22802296,0.375101,0.34381104,0.29093686,0.03462673,0.046645068,0.2764888,0.356892,0.1788357,0.18174686,0.3247716,0.06487629,0.2620665,0.10165618,0.18667151,0.2739299,0.328954,0.1519028,0.15502015,0.15779935,0.28318357,0.073198736,0.21909061,0.32030964,0.13959873,0.19824076,0.3899957,0.061445706,0.20841704,0.25526488,0.23928453,0.12614046,0.34179622,0.3210691,0.15333346,0.3378278,0.29568717,0.1753656,0.27029654,0.25954396,0.07766348,0.34262133,0.17999159,0.36132035,0.3433942,0.06576358,0.11361285,0.18193617,0.2950453,0.12698016,0.058975667
TCGAA2A0EO,0.31453526,0.21629024,0.12437393,0.21227911,0.306199,0.21632183,0.31052414,0.32987264,0.32463425,0.33800027,0.3257522,0.551629,0.41557503,0.26863852,0.22273621,0.032150347,0.3583302,0.59354615,0.4246219,0.15042359,0.3514266,0.33686826,0.35064274,0.09510468,0.08850935,0.12040142,0.41060108,0.2932924,0.20687407,0.1325564,0.2323111,0.15547466,0.24188547,0.15389413,0.4737953,0.08194776,0.27826497,0.25364688,0.2975225,0.28062743,0.25486642,0.56440836,0.29928213,0.16010055,0.22356963,0.354061,0.35266858,0.5262704,0.16729662,0.3321688,0.0720911,0.29788762,0.2430976,0.18209532,0.21901597,0.40655088,0.25808594,0.36318135,0.07340738,0.14758727,0.26070586,0.26255542,0.28319776,0.19147047,0.5205996,0.2729308,0.13464655,0.106662184,0.3960528,0.27613047,0.30952662,0.34203315,0.24265502,0.3862668,0.2554882,0.18607125,0.2733786,0.2711836,0.09435734,0.32104963,0.2781946,0.25597924,0.2252325,0.32948193,0.44794697,0.13136806,0.30124253,0.15017554,0.22665475,0.18764684,0.18719909,0.16047108,0.2562312,0.11580315,0.22892739,0.49710664,0.41579872,0.20903732,0.39046124,0.27119184
TCGAA2A0EW,0.18096346,0.14411725,0.3550451,0.20771801,0.15160283,0.3245711,0.2179041,0.15446176,0.28476802,0.26648948,0.30910456,0.32354036,0.1407122,0.29836524,0.16627187,0.21852447,0.3692178,0.20906603,0.14967498,0.45555308,0.39105058,0.29180568,0.1040968,0.17851774,0.2533756,0.27988926,0.23556593,0.3718982,0.26844084,0.46409434,0.30613896,0.06994167,0.19947278,0.20189466,0.22213095,0.27129123,0.14062695,0.036934063,0.16979384,0.2295626,0.37738943,0.21484053,0.2174294,0.19482037,0.059752963,0.30044186,0.11162749,0.15928428,0.2540436,0.3291006,0.3130721,0.12286436,0.40025285,0.3384542,0.33223093,0.26840326,0.30439234,0.47570783,0.15548946,0.25899228,0.05432552,0.18148327,0.4987132,0.19008557,0.12697858,0.18806973,0.37666714,0.16181959,0.27305442,0.5030227,0.10459225,0.2913919,0.3097884,0.16966248,0.27896562,0.12195704,0.36350775,0.5552478,0.28776062,0.28288472,0.21069144,0.20754485,0.23901722,0.13816546,0.39546806,0.08745469,0.14682345,0.19487408,0.15644532,0.28534117,0.19649747,0.21963522,0.26688105,0.26426306,0.35947722,0.121436,0.4099782,0.26577765,0.4529218,0.24651949
TCGAA2A0EX,0.49655902,0.2082863,0.50352454,0.2043914,0.31239116,0.21391295,0.16675028,0.22477283,0.20938715,0.36130896,0.26774216,0.3515486,0.5068276,0.1881983,0.25428796,0.18856478,0.26648262,0.44220945,0.16677153,0.27941978,0.3514825,0.37615037,0.17970407,0.1516286,0.18690155,0.1631228,0.39643025,0.16796824,0.3597504,0.22600822,0.3100311,0.17654377,0.24592254,0.08186713,0.29871863,0.15921478,0.26273352,0.12353255,0.25705153,0.24256803,0.34115627,0.14683199,0.36157358,0.36870125,0.26944333,0.34625006,0.14509954,0.24986354,0.17801592,0.21493651,0.18309852,0.11803606,0.38004616,0.22936505,0.20162985,0.29916948,0.31328976,0.35591263,0.22531167,0.18095039,0.08947192,0.25242928,0.34446216,0.14113143,0.3894809,0.22699365,0.09050745,0.28275582,0.2670045,0.31724533,0.24219695,0.5968172,0.28869092,0.4407878,0.27637964,0.057851713,0.48420793,0.18897763,0.2620398,0.38544148,0.22797243,0.066283,0.044256136,0.37160885,0.33298272,0.15974638,0.49134526,0.20170373,0.17385955,0.2833448,0.17590283,0.17021698,0.16591653,0.2710208,0.4066888,0.26619035,0.53822124,0.26948828,0.33822584,0.16555089
TCGAA2A0EY,0.41297993,0.2634285,0.25852168,0.10353586,0.07113191,0.3139384,0.11165119,0.42968762,0.3026262,0.29150736,0.19918801,0.22361498,0.35478014,0.18990645,0.34909025,0.05383282,0.18473677,0.35610712,0.15737335,0.51669425,0.21477032,0.10193409,0.21660428,0.44659466,0.2708709,0.12851213,0.34369433,0.25946063,0.29428852,0.38905546,0.29870778,0.5070712,0.39799112,0.39439207,0.26349235,0.24483865,0.086942464,0.30887914,0.52807915,0.51651007,0.067302965,0.1813174,0.21834853,0.21074936,0.25764722,0.29249072,0.15900977,0.064350456,0.340057,0.08089908,0.0389654,0.3949932,0.17199454,0.044083327,0.18980028,0.059950747,0.27683312,0.18928671,0.23374806,0.15720724,0.54902065,0.43904963,0.20302688,0.20532537,0.5212892,0.19386788,0.23451461,0.14616688,0.42534316,0.46967772,0.14499485,0.3995331,0.18980846,0.45989728,0.39068168,0.14338,0.18313141,0.33676702,0.45494556,0.06700507,0.36984676,0.3800302,0.2989794,0.3888471,0.32667252,0.08927947,0.3428062,0.13067757,0.29723692,0.11577773,0.33062762,0.3811498,0.20156083,0.14172895,0.18214089,0.2183722,0.47462052,0.35755444,0.15523663,0.30353802
TCGAA2A0YD,0.099827714,0.11923036,0.17789885,0.29864264,0.22361659,0.3139642,0.18030244,0.23759612,0.19319662,0.32482716,0.56496584,0.39276126,0.57242066,0.23053531,0.25140822,0.036666937,0.336496,0.37423503,0.17252053,0.16580293,0.33593625,0.39325047,0.22041498,0.3312291,0.2281907,0.06871933,0.39941645,0.21496367,0.25917712,0.24753487,0.11535998,0.105431296,0.25031972,0.20848566,0.23717028,0.42052838,0.304414,0.2186172,0.40027836,0.284478,0.4495899,0.4495367,0.344616,0.15352859,0.3008219,0.09375606,0.32749426,0.28924865,0.25461414,0.46061987,0.13409966,0.5633107,0.3253675,0.27925736,0.17756186,0.3182826,0.10142188,0.15932672,0.47457615,0.30393526,0.20062044,0.30380687,0.22216621,0.11732474,0.12256873,0.24079189,0.36915773,0.27744952,0.47963616,0.46438283,0.35706434,0.27217603,0.079503514,0.1986103,0.43800333,0.100221895,0.1465438,0.1669602,0.28537285,0.28640032,0.3983799,0.19246203,0.19382477,0.17036004,0.108415954,0.38602304,0.11430795,0.24374855,0.412975,0.13941616,0.13847601,0.33812642,0.2109839,0.40800267,0.19616057,0.33895034,0.17569351,0.27245295,0.2828586,0.062279224
TCGAA2A0YG,0.25761658,0.17432582,0.24565075,0.36729568,0.094053954,0.09491187,0.2398462,0.21193689,0.38175663,0.15183473,0.1318371,0.25867137,0.20940669,0.2375282,0.41014874,0.30433714,0.096582405,0.5119907,0.098686874,0.3681951,0.26998717,0.16422537,0.095041424,0.21586484,0.27674654,0.08662213,0.3228812,0.296853,0.20957577,0.26369834,0.2931054,0.26271448,0.51424325,0.55107623,0.065697715,0.34444216,0.16351756,0.21488872,0.04706698,0.29990628,0.17934561,0.24377547,0.18853542,0.5926206,0.21735582,0.22474389,0.46064088,0.29977474,0.50138444,0.19206621,0.14587258,0.45006204,0.08791068,0.14750642,0.29311162,0.33771276,0.38627648,0.29306743,0.42131686,0.36751315,0.5256802,0.32924193,0.17645627,0.4265595,0.13557154,0.23259151,0.14706506,0.26356,0.15548709,0.37388605,0.17384999,0.25750855,0.14969301,0.085401766,0.42460948,0.15937158,0.26163372,0.29935697,0.39091367,0.10742228,0.34391937,0.48705506,0.109924264,0.25085968,0.30691555,0.34335226,0.28084093,0.15149549,0.13166289,0.28701776,0.31186724,0.3109148,0.34294873,0.16933262,0.31889707,0.13043267,0.29963216,0.29065496,0.21846333,0.17512889
