epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70
Bax,Tau,Tau,Tau,Tau,ARID1A,ARID1A
IRS1,c.Jun_pS73,c.Jun_pS73,PR,ARID1A,Tau,Tau
c.Jun_pS73,eIF4E,eIF4E,c.Jun_pS73,c.Jun_pS73,c.Jun_pS73,c.Jun_pS73
Tau,PTEN,PR,ARID1A,PR,IRS1,Bax
PTEN,IRS1,c.Kit,c.Kit,Bax,PR,IRS1
c.Kit,c.Kit,IRS1,eIF4E,IRS1,eIF4E,PR
Src,Bax,PTEN,IRS1,eIF4E,Bax,eIF4E
eIF4E,PR,Bax,Bax,c.Kit,c.Kit,AIB1
IGFBP2,ARID1A,YAP,YAP,AIB1,FAK,FAK
Akt_pT308,JNK_pT183_pT185,ARID1A,AIB1,YAP,AIB1,c.Kit
VEGFR2,YAP,AIB1,PTEN,PTEN,YAP,IGFBP2
JNK_pT183_pT185,p70S6K_pT389,JNK_pT183_pT185,JNK_pT183_pT185,FAK,p38_MAPK,YB.1
ER.alpha,eEF2,p38_MAPK,FAK,YB.1,YB.1,VEGFR2
YAP,AIB1,Rad50,YB.1,p38_MAPK,IGFBP2,p38_MAPK
Akt_pS473,Akt_pT308,YB.1,p38_MAPK,VEGFR2,PTEN,YAP
PR,Rad50,IGFBP2,IGFBP2,JNK_pT183_pT185,VEGFR2,PTEN
Rad50,Collagen_VI,FOXO3a_pS318_S321,MEK1_pS217_S221,MEK1_pS217_S221,FOXO3a_pS318_S321,MEK1_pS217_S221
ARID1A,CDK1,p70S6K_pT389,Rad50,IGFBP2,MEK1_pS217_S221,FOXO3a_pS318_S321
LBK1,VASP,S6_pS240_S244,FOXO3a_pS318_S321,FOXO3a_pS318_S321,JNK_pT183_pT185,VASP
eEF2,S6_pS240_S244,eEF2,VEGFR2,Rad50,VASP,YAP_pS127
MEK1_pS217_S221,IGFBP2,FAK,VASP,Akt,YAP_pS127,JNK_pT183_pT185
Cyclin_B1,YB.1,MEK1_pS217_S221,p70S6K_pT389,p70S6K_pT389,p70S6K_pT389,Syk
Caveolin.1,S6_pS235_S236,Akt_pT308,Bcl.2,VASP,Rad50,Akt
VASP,Src,Collagen_VI,Akt,Bcl.2,Akt,Rad50
S6_pS240_S244,p38_MAPK,CDK1,CDK1,YAP_pS127,Bcl.2,JNK2
ACC_pS79,Akt_pS473,JNK2,Akt_pT308,Akt_pT308,CDK1,p70S6K_pT389
STAT3_pY705,Caveolin.1,VASP,YAP_pS127,JNK2,JNK2,Bcl.2
GSK3.alpha.beta_pS21_S9,p90RSK_pT359_S363,Akt,S6_pS240_S244,CDK1,14.3.3_epsilon,Akt_pT308
Collagen_VI,JNK2,S6_pS235_S236,JNK2,14.3.3_epsilon,Akt_pT308,CD49b
YAP_pS127,FAK,Bcl.2,14.3.3_epsilon,Collagen_VI,CD49b,p27
AIB1,FOXO3a_pS318_S321,p27,eEF2,CD49b,Syk,14.3.3_epsilon
Syk,EGFR_pY1068,14.3.3_epsilon,Collagen_VI,STAT3_pY705,Claudin.7,Claudin.7
CDK1,p27,YAP_pS127,p27,S6_pS240_S244,PAI.1,CDK1
FAK,LBK1,VEGFR2,XIAP,p27,S6_pS240_S244,Smad3
p90RSK_pT359_S363,14.3.3_epsilon,INPP4B,S6_pS235_S236,Syk,Collagen_VI,PAI.1
S6_pS235_S236,YAP_pS127,Akt_pS473,STAT3_pY705,AR_x,AR_x,INPP4B
PDCD4,VEGFR2,ACC_pS79,AR_x,INPP4B,INPP4B,AR_x
p70S6K_pT389,MEK1_pS217_S221,STAT3_pY705,INPP4B,Claudin.7,STAT3_pY705,4E.BP1_pT170
14.3.3_epsilon,Bcl.2,p90RSK_pT359_S363,Akt_pS473,PAI.1,Akt_pS473,Collagen_VI
FOXO3a_pS318_S321,ACC_pS79,XIAP,Bcl.xL,Bim,4E.BP1_pT170,HSP70
HER2,Akt,Src,4E.BP1_pT170,Akt_pS473,p27,S6_pS240_S244
EGFR_pY1068,Src_pY527,Caveolin.1,Claudin.7,4E.BP1_pT170,Smad3,Caveolin.1
YB.1,STAT3_pY705,4E.BP1_pT170,Syk,XIAP,Caveolin.1,Src
Lck,ACC1,LBK1,p21,S6_pS235_S236,Bim,STAT3_pY705
RBM3,Bcl.xL,c.Myc,ACC_pS79,eEF2,HSP70,EGFR_x
AMPK_alpha,INPP4B,EGFR_pY1068,CD49b,LBK1,EGFR_x,Akt_pS473
PRAS40_pT246,PKC.alpha,GSK3.alpha.beta_pS21_S9,LBK1,EGFR_x,S6_pS235_S236,XIAP
Src_pY527,HSP70,ACC1,Caveolin.1,ACC_pS79,XIAP,Bcl.xL
AR_x,YB.1_pS102,Syk,ACC1,Bcl.xL,Src,Bim
PCNA,4E.BP1_pT170,Bcl.xL,Src,ACC1,XRCC1,S6_pS235_S236
Bcl.2,PDCD4,Fibronectin,p90RSK_pT359_S363,Smad3,p90RSK_pT359_S363,XRCC1
JNK2,AR_x,EGFR_x,EGFR_x,Caveolin.1,Bcl.xL,c.Myc
p38_MAPK,c.Myc,Claudin.7,c.Myc,c.Myc,ACC1,S6
PKC.alpha,Syk,AR_x,EGFR_pY1068,PRDX1,S6,p90RSK_pT359_S363
GATA3_x,TAZ_pS89,RBM3,AMPK_pT172,p21,p21,ACC_pS79
MIG.6,PRAS40_pT246,AMPK_alpha,Bim,Src,ACC_pS79,p21
GAB2,GSK3.alpha.beta_pS21_S9,PAI.1,HSP70,AMPK_pT172,eEF2,p38_pT180_Y182
A.Raf_pS299,PCNA,AMPK_pT172,PAI.1,HSP70,c.Myc,PDCD4
INPP4B,Claudin.7,PCNA,Smad3,XRCC1,LBK1,LBK1
Claudin.7,EGFR_x,YB.1_pS102,YB.1_pS102,S6,PRDX1,GAB2
ACC1,AMPK_pT172,p21,GSK3.alpha.beta_pS21_S9,p90RSK_pT359_S363,p38_pT180_Y182,MIG.6
p27,p38_pT180_Y182,Rb_pS807_S811,RBM3,RBM3,AMPK_pT172,eEF2
Smad3,Smad3,HSP70,PCNA,PCNA,Fibronectin,PRDX1
4E.BP1_pT170,Fibronectin,Src_pY527,PRDX1,EGFR_pY1068,PKC.alpha,AMPK_pT172
MEK1,AMPK_alpha,Smad3,AMPK_alpha,Fibronectin,PDCD4,PKC.alpha
p38_pT180_Y182,HER2,PKC.alpha,Fibronectin,p38_pT180_Y182,YB.1_pS102,RBM3
Bcl.xL,Rb_pS807_S811,CD49b,S6,mTOR_pS2448,EGFR_pY1068,K.Ras
ERK2,ER.alpha,p38_pT180_Y182,mTOR_pS2448,Rb_pS807_S811,RBM3,YB.1_pS102
Smad1,mTOR_pS2448,Caspase.8,XRCC1,Cyclin_B1,GAB2,ACC1
Akt,XIAP,mTOR_pS2448,MIG.6,MIG.6,mTOR_pS2448,EGFR_pY1068
HSP70,PAI.1,PDCD4,p38_pT180_Y182,YB.1_pS102,Rb_pS807_S811,Fibronectin
AMPK_pT172,Cyclin_B1,PRAS40_pT246,ER.alpha_pS118,E.Cadherin,K.Ras,Rb_pS807_S811
Paxillin,ERK2,MIG.6,Src_pY527,K.Ras,Cyclin_B1,eEF2K
PRDX1,Caspase.8,Bim,Rb_pS807_S811,Src_pY527,4E.BP1,AMPK_alpha
c.Myc,4E.BP1,TAZ_pS89,K.Ras,AMPK_alpha,PCNA,4E.BP1
mTOR,Notch3,Cyclin_B1,Caspase.8,ER.alpha_pS118,ER.alpha_pS118,ER.alpha_pS118
CD49b,p21,HER3,PKC.alpha,GSK3.alpha.beta_pS21_S9,E.Cadherin,Cyclin_B1
4E.BP1,A.Raf_pS299,Caspase.7_cleavedD198,PDCD4,PDCD4,AMPK_alpha,mTOR
EGFR_x,CD49b,E.Cadherin,ER.alpha,PKC.alpha,MIG.6,mTOR_pS2448
Notch3,53BP1,HER2,E.Cadherin,Caspase.8,mTOR,E.Cadherin
Fibronectin,RBM3,S6,Caspase.7_cleavedD198,MEK1,Caspase.8,Src_pY527
XRCC1,Dvl3,ER.alpha,TAZ_pS89,eEF2K,Caspase.9_cleavedD330,PCNA
Transglutaminase,MEK1,PRDX1,PRAS40_pT246,Ku80,Src_pY527,ERK2
E.Cadherin,PKC.delta_pS664,eEF2K,Cyclin_B1,Caspase.7_cleavedD198,eEF2K,Ku80
53BP1,HER3,4E.BP1,PKC.delta_pS664,PKC.delta_pS664,MEK1,MEK1
Caspase.7_cleavedD198,MIG.6,MEK1,Caspase.9_cleavedD330,4E.BP1,ERK2,Caspase.8
MSH6,S6,K.Ras,HER2,GAB2,GSK3.alpha.beta_pS21_S9,Smac
Rb_pS807_S811,Caspase.7_cleavedD198,PKC.delta_pS664,Pea.15,Caspase.9_cleavedD330,Ku80,Caspase.9_cleavedD330
TAZ_pS89,E.Cadherin,XRCC1,HER3,ER.alpha,PKC.delta_pS664,PKC.delta_pS664
YB.1_pS102,Lck,ER.alpha_pS118,Ku80,ERK2,Caspase.7_cleavedD198,Tuberin
Annexin_I,mTOR,Lck,eEF2K,mTOR,Pea.15,Pea.15
4E.BP1_pS65,MAPK_pT202_Y204,Dvl3,4E.BP1,HER2,TAZ_pS89,Caspase.7_cleavedD198
