Sample;Tumor
TCGA-A2-A0T2;T3
TCGA-A2-A04P;T2
TCGA-A1-A0SK;T2
TCGA-A2-A0CM;T2
TCGA-AR-A1AR;T1
TCGA-B6-A0WX;T3
TCGA-BH-A1F0;T1
TCGA-B6-A0I6;T1
TCGA-BH-A18V;T2
TCGA-BH-A18Q;T2
TCGA-BH-A18K;T1
TCGA-BH-A0HL;T2
TCGA-BH-A0E0;T3
TCGA-BH-A0RX;T2
TCGA-A7-A13D;T2
TCGA-BH-A0E6;T1
TCGA-AO-A0J4;T1
TCGA-A7-A0CE;T2
TCGA-A7-A13E;T2
TCGA-A7-A0DA;T2
TCGA-D8-A142;T3
TCGA-D8-A143;T2
TCGA-AQ-A04J;T2
TCGA-BH-A0HN;T1
TCGA-A2-A0T0;T2
TCGA-A2-A0YE;T2
TCGA-A2-A0YJ;T3
TCGA-A2-A0D0;T2
TCGA-A2-A04U;T2
TCGA-AO-A0J6;T2
TCGA-A2-A0YM;T2
TCGA-A2-A0D2;T2
TCGA-BH-A0B3;T2
TCGA-A2-A04Q;T1
TCGA-A2-A0SX;T1
TCGA-AO-A0JL;T2
TCGA-AO-A12F;T2
TCGA-BH-A0B9;T1
TCGA-A2-A04T;T2
TCGA-B6-A0RT;T3
TCGA-AO-A128;T2
TCGA-AO-A129;T2
TCGA-AO-A124;T2
TCGA-B6-A0RU;T1
TCGA-B6-A0IQ;T3
TCGA-B6-A0I2;T1
TCGA-B6-A0IJ;T3
TCGA-B6-A0X1;T2
TCGA-B6-A0RE;TX
TCGA-A2-A0ST;T1
TCGA-AR-A0TP;T2
TCGA-A1-A0SO;T2
TCGA-A8-A07C;T2
TCGA-A8-A07O;T2
TCGA-A8-A07R;T2
TCGA-A8-A07U;T2
TCGA-A8-A08H;T2
TCGA-A8-A08R;T2
TCGA-AN-A04D;T2
TCGA-AN-A0AL;T4
TCGA-AN-A0AR;T2
TCGA-AN-A0AT;T2
TCGA-AN-A0FJ;T2
TCGA-AN-A0FL;T2
TCGA-AN-A0FX;T2
TCGA-AN-A0G0;T2
TCGA-AN-A0XU;T2
TCGA-AR-A0TS;T2
TCGA-AR-A0TU;T2
TCGA-AR-A0U0;T2
TCGA-AR-A0U1;T2
TCGA-AR-A0U4;T2
TCGA-AR-A1AH;T2
TCGA-AR-A1AI;T2
TCGA-AR-A1AJ;T1
TCGA-AR-A1AQ;T2
TCGA-AR-A1AY;T1
TCGA-BH-A0AV;T1
TCGA-BH-A0BG;T1
TCGA-BH-A0BL;T1
TCGA-BH-A0BW;T1
TCGA-BH-A0DL;T2
TCGA-BH-A0WA;T1
TCGA-BH-A18G;T1
TCGA-C8-A12K;T2
TCGA-C8-A12V;T2
TCGA-C8-A131;T2
TCGA-C8-A134;T2
TCGA-D8-A147;T2
TCGA-E2-A14N;T2
TCGA-E2-A14R;T2
TCGA-E2-A14X;T2
TCGA-E2-A14Y;T2
TCGA-E2-A150;T2
TCGA-E2-A158;T1
TCGA-E2-A159;T2
TCGA-E2-A1AZ;T2
TCGA-E2-A1B5;T2
TCGA-A8-A08L;T3
TCGA-BH-A1EV;NA
TCGA-B6-A0I9;T3
TCGA-A8-A09X;T2
TCGA-B6-A0IK;T4
TCGA-BH-A18P;T1
TCGA-A8-A08J;T4
TCGA-BH-A18R;T2
TCGA-AR-A1AT;T2
TCGA-B6-A0RS;T2
TCGA-BH-A0DZ;T2
TCGA-A2-A0T1;T3
TCGA-AO-A0J2;T1
TCGA-BH-A0AW;T1
TCGA-BH-A0EE;T3
TCGA-A2-A0D1;T2
TCGA-AO-A03N;T2
TCGA-A2-A0CY;T2
TCGA-A2-A04X;T2
TCGA-A2-A0CX;T2
TCGA-A2-A04W;T2
TCGA-AO-A12D;T1
TCGA-A2-A0CL;T3
TCGA-AO-A0JE;T2
TCGA-A2-A0EQ;T2
TCGA-AO-A03L;T3
TCGA-B6-A0RH;T2
TCGA-A8-A075;T2
TCGA-A8-A076;T2
TCGA-A8-A07B;T2
TCGA-A8-A07I;T2
TCGA-A8-A081;T2
TCGA-A8-A08B;T2
TCGA-A8-A08X;T4
TCGA-A8-A092;T2
TCGA-A8-A094;T2
TCGA-A8-A09G;T3
TCGA-A8-A0A7;T2
TCGA-AN-A04C;T2
TCGA-AN-A0FV;T2
TCGA-AR-A0TX;T1
TCGA-BH-A0B7;T2
TCGA-BH-A0HY;T1
TCGA-C8-A12L;T2
TCGA-C8-A12P;T2
TCGA-C8-A12Q;T1
TCGA-C8-A12T;T2
TCGA-C8-A12Z;T2
TCGA-C8-A130;T3
TCGA-C8-A135;T2
TCGA-C8-A137;T2
TCGA-C8-A138;T2
TCGA-C8-A1HF;T2
TCGA-D8-A13Z;T2
TCGA-E2-A14P;T2
TCGA-E2-A14V;T2
TCGA-E2-A152;T1
TCGA-E2-A1B0;T2
TCGA-A2-A0CU;T2
TCGA-AR-A0TR;T2
TCGA-BH-A18T;T2
TCGA-B6-A0I8;T1
TCGA-B6-A0X4;T2
TCGA-A8-A06U;T2
TCGA-BH-A0EA;T1
TCGA-BH-A18N;T2
TCGA-BH-A1EU;T1
TCGA-B6-A0X7;T1
TCGA-A2-A04V;T2
TCGA-BH-A18S;T1
TCGA-BH-A18M;T3
TCGA-B6-A0RM;TX
TCGA-BH-A1ET;T1
TCGA-B6-A0IN;T1
TCGA-BH-A1EO;T1
TCGA-B6-A0WS;T1
TCGA-B6-A0RP;T2
TCGA-B6-A0IH;T3
