Sample,Tumor
TCGAA2A0T2,2
TCGAA2A04P,1
TCGAA1A0SK,1
TCGAA2A0CM,1
TCGAB6A0WX,2
TCGABHA18V,1
TCGABHA18Q,1
TCGABHA0E0,2
TCGABHA0RX,1
TCGAA7A13D,1
TCGABHA0E6,0
TCGAA7A0CE,1
TCGAA7A0DA,1
TCGAD8A142,2
TCGAA2A0T0,1
TCGAA2A0D0,1
TCGAAOA0J6,1
TCGAA2A0YM,1
TCGAA2A0D2,1
TCGABHA0B3,1
TCGAA2A04Q,0
TCGAA2A0SX,0
TCGAAOA0JL,1
TCGAAOA12F,1
TCGABHA0B9,0
TCGAB6A0RT,2
TCGAAOA129,1
TCGAB6A0RU,0
TCGAB6A0IQ,2
TCGAB6A0I2,0
TCGAB6A0IJ,2
TCGAA2A0ST,0
TCGAARA0TP,1
TCGAA1A0SO,1
TCGAA8A07O,1
TCGAA8A07R,1
TCGAA8A08H,1
TCGAANA04D,1
TCGAANA0AL,3
TCGAANA0AR,1
TCGAANA0FJ,1
TCGAANA0FL,1
TCGAANA0FX,1
TCGAANA0XU,1
TCGAARA0TS,1
TCGAARA0U1,1
TCGAARA0U4,1
TCGAARA1AH,1
TCGAARA1AI,1
TCGAARA1AJ,0
TCGAARA1AQ,1
TCGAARA1AY,0
TCGABHA0AV,0
TCGABHA0BW,0
TCGABHA0DL,1
TCGAC8A12K,1
TCGAC8A12V,1
TCGAC8A131,1
TCGAC8A134,1
TCGAD8A147,1
TCGAE2A14X,1
TCGAE2A14Y,1
TCGAE2A150,1
TCGAE2A158,0
TCGAE2A159,1
TCGAE2A1B5,1
TCGAA8A08L,2
TCGAB6A0I9,2
TCGAA8A09X,1
TCGAB6A0IK,3
TCGABHA18P,0
TCGAA8A08J,3
TCGABHA18R,1
TCGAA2A0T1,2
TCGAAOA0J2,0
TCGABHA0EE,2
TCGAA2A0D1,1
TCGAAOA03N,1
TCGAAOA12D,0
TCGAA2A0CL,2
TCGAAOA0JE,1
TCGAA2A0EQ,1
TCGAAOA03L,2
TCGAB6A0RH,1
TCGAA8A075,1
TCGAA8A076,1
TCGAA8A07I,1
TCGAA8A081,1
TCGAA8A08X,3
TCGAA8A094,1
TCGAA8A09G,2
TCGAA8A0A7,1
TCGAANA0FV,1
TCGAARA0TX,0
TCGABHA0B7,1
TCGAC8A12L,1
TCGAC8A12P,1
TCGAC8A12Q,0
TCGAC8A12T,1
TCGAC8A12Z,1
TCGAC8A130,2
TCGAC8A135,1
TCGAC8A138,1
TCGAD8A13Z,1
TCGAE2A14P,1
TCGAE2A14V,1
TCGAE2A152,0
TCGAE2A1B0,1
TCGAA2A0CU,1
TCGAARA0TR,1
TCGABHA18T,1
TCGABHA0EA,0
TCGABHA18N,1
TCGAA2A04V,1
TCGABHA18S,0
TCGABHA18M,2
TCGAB6A0RP,1
TCGAB6A0X0,0
TCGAB6A0RQ,2
TCGABHA0DS,1
TCGABHA0HK,1
TCGAA7A0CG,1
TCGAA7A0CH,1
TCGAA7A0DB,1
TCGAA7A0D9,1
TCGAAOA0J8,1
TCGAAOA0JF,0
TCGAA7A0CD,0
TCGAD8A145,0
TCGABHA0HP,2
TCGABHA0DK,1
